ResponseId;IC1;IC2;IC3;Q1;A1;O1;A2;A2_8_TEXT;A2_a;A2_b;A2_b_5_TEXT;CB1;RB;CB3;DF1;DF2;SB1;TP1;OS1;MS;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q135_First Click;Q135_Last Click;Q135_Page Submit;Q135_Click Count;Q10;Q10_6_TEXT;Q11_1;Q11_2;Q11_3;Q11_4;Q11_5;Q11_6;Q11_7;Q11_8;Q18;Q19;Q19_12_TEXT;Q20;Q21;Q22;Q22_11_TEXT;Q23;Q23_10_TEXT;Q142;Q12;Q13;Q14;Q15;Q16;Q24;A7_1;A7_2;A7_3;A7_4;A7_5;A7_6;A8;A9_1;A9_2;A9_3;A9_4;A9_5;A9_6;GENDER;GENDER_TEXT;AGE_ITEM;AGE_NUM;ETH_HISP;ETH_R;A6_15_TEXT;Q25
R_2coM9bJevimmYpG;Yes;Yes;Yes;Yes;Columbian College of Arts & Sciences;;Prefer not to disclose;;;;;GWU SECURITY;None of the above;No;;;;;;;GWU SECURITY;GWU SECURITY;GWU SECURITY;No;Much more secure;GWU SECURITY;I use a system provided password manager (for example, Apple's Keychain).;9.067;24.441;25.458;7;;;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;GWU SECURITY;Other;GWU SECURITY;Extremely satisfied;I let the password manager create and store the password;Other;GWU SECURITY;Other;GWU SECURITY;GWU SECURITY;;;;;;Extremely unlikely;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Prefer not to disclose;Full Understanding;Full Understanding;Full Understanding;Full Understanding;Full Understanding;Full Understanding;Prefer to self-describe;GWU SECURITY;My age is:;100;Prefer not to disclose;Other (Designation not listed here);GWU SECURITY;None of the above
R_3NJUMoBN98OGsT6;Yes;Yes;Yes;Yes;Milken Institute School of Public Health;;Staff (non-faculty/administrative);;;;;I use Google password manager or a notes app to save most passwords, but memorize a few individual passwords for my most important financial accounts.;I remembered my passwords without writing them down or storing them digitally,I stored my passwords in a digital file or files,I saved my passwords in the browser (for example, passwords saved in Chrome),I wrote my passwords down on paper or other physical media.;Yes;No;No;No;;;I usually save my passwords in Chrome, and sometimes if I'm doing something on my phone I'll write a password down in the notes app or in Word or on a piece of paper, but for my most important financial accounts I memorize the individual passwords because there's only a couple.;No.;I created it.;I frequently need to log in to my GW accounts on different devices, pre-COVID those devices were sometimes not my own, and because GW uses two-factor authentication and I have a limited bandwidth to memorize random passwords...I created one.;Yes;About equally secure;GW requires staff to use two-step authentication for our apps.;I save my passwords in the browser (for example, passwords saved in Chrome).;18.093;18.093;22.524;1;I don’t know (don’t remember, not sure);;Somewhat Agree;Somewhat Agree;Neither agree nor disagree;Somewhat Agree;Strongly Disagree;Somewhat Disagree;Somewhat Agree;Somewhat Disagree;It's easy.;Chrome;;Moderately satisfied;I create the password myself and recall it without storing it in the password manager;Not having to memorize passwords;;Entering passwords when password manager is not installed;;I don't usually memorize passwords that are otherwise saved and can't recall them if I'm someone else's device.;;;;;;Moderately likely;Disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Somewhat Disagree;None of the above;High understanding;High understanding;Medium understanding;High understanding;High understanding;High understanding;Woman;;My age is:;28;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I want my email to be entered into the $10 Amazon gift card raffle
R_pudynwNtI0kSxR7;Yes;Yes;Yes;Yes;Columbian College of Arts & Sciences;;Student;;Yes;Graduate (M.S.E, M.S., M.A, M.F.A., etc.);;I remember them which are personalized;None of the above;Yes;;;;;;;Nope;easy to remember for me;easy to remember;No;Somewhat more secure;because it's my personal;I do not use a password manager.;5.592;54.781;56.416;7;;;Somewhat Agree;Neither agree nor disagree;Somewhat Agree;Neither agree nor disagree;Somewhat Agree;Somewhat Agree;Strongly Agree;Somewhat Agree;;;;;;;;;;;I have good memory power;No;;No;;Moderately likely;Strongly Agree;Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;I am majoring / have a degree in computer science or a closely related field;Full Understanding;High understanding;Full Understanding;Full Understanding;Full Understanding;Full Understanding;Man;;My age is:;22;Prefer not to disclose;Asian Indian;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_2uCB4IhgRxNCaOZ;Yes;Yes;Yes;Yes;Other;Office of Marketing and Communications- Central;Staff (non-faculty/administrative);;;;;I generally have 2-3 passwords I choose from so I try them all.;I remembered my passwords without writing them down or storing them digitally,I stored my passwords in a digital file or files,I saved my passwords in the browser (for example, passwords saved in Chrome),I used a system-provided password manager (for example, Apple's Keychain);Yes;No;No;Yes;;No;I have them stored in case I can't remember them or this is a strange circumstance that is needed that I do not usually include. I also have them saved across Apple's Keychain and chrome.;No.;I just remember it.;It is easy for me to remember since most GW accounts have the same password requirements.;Yes;About equally secure;I haven't had any issues with privacy, so I can only assume it is just as private as other platforms I use.;I save my passwords in the browser (for example, passwords saved in Chrome).,I use a system provided password manager (for example, Apple's Keychain).;6.521;13.655;21.826;4;I don’t know (don’t remember, not sure);;Strongly Disagree;Somewhat Disagree;Strongly Disagree;Somewhat Agree;Strongly Disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Agree;In order to organize myself better.;Chrome;;Extremely satisfied;I let the password manager create and store the password;Not having to type my passwords (autofill);;I have security concerns;;It seems like it could be compromising if my account is hacked or someone steals my computer/phone.;;;;;;Extremely likely;Somewhat Disagree;Disagree;Strongly Disagree;Strongly Disagree;Disagree;Strongly Disagree;None of the above;Medium understanding;High understanding;No understanding;Medium understanding;No understanding;No understanding;Woman;;My age is:;26;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_31jc2YTcNj6bphf;Yes;Yes;Yes;Yes;Graduate School of Education & Human Development;;Staff (non-faculty/administrative);;;;;memory;I remembered my passwords without writing them down or storing them digitally;Yes;;;;;;;no;password I use for other things.;Yes;No;About equally secure;same password. same security level.;I do not use a password manager.;15.37;15.37;21.314;1;Media (Internet, TV, radio, etc),Other People (friends, family, etc, but not at work);;Neither agree nor disagree;Somewhat Agree;Somewhat Agree;Neither agree nor disagree;Somewhat Disagree;Neither agree nor disagree;Somewhat Agree;Strongly Agree;;;;;;;;;;;no need;Yes;i do not use it for work purposes only personal;;yes, I like how it works.;Extremely likely;Somewhat Agree;Neither agree nor disagree;Somewhat Disagree;Somewhat Disagree;Somewhat Disagree;Neither agree nor disagree;None of the above;Medium understanding;High understanding;Low understanding;Medium understanding;Medium understanding;High understanding;Man;;My age is:;33;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_1hGzvRBhcnYKGl5;Yes;Yes;Yes;Yes;Columbian College of Arts & Sciences;;Full-time Faculty;;;;;It is baffling!!! I use a number of passwords, but most of my passwords are some derivative of what is a base PW. Financial ones tend to be longer and more complicated.;I remembered my passwords without writing them down or storing them digitally,I saved my passwords in the browser (for example, passwords saved in Chrome),I used a system-provided password manager (for example, Apple's Keychain);Yes;;;Yes;;Yes;Memory is the main vehicle!;No.;This PW is one I have used for a long time.;This might be one of the first passwords that consistently uses my base. I Have memorized it since I log on a lot.;Yes;Somewhat less secure;There is less financial information. However, I always use the two stage verification.;I save my passwords in the browser (for example, passwords saved in Chrome).,I use a system provided password manager (for example, Apple's Keychain).;31.023;40.181;41.399;5;I don’t know (don’t remember, not sure);;Somewhat Disagree;Somewhat Disagree;Neither agree nor disagree;Somewhat Agree;Strongly Disagree;Strongly Disagree;Neither agree nor disagree;Somewhat Disagree;Ease of use;Chrome;;Slightly satisfied;I create the password myself, and the password manager stores it for me;Not having to type my passwords (autofill);;I have security concerns;;I really am not sure how secure these are.;;;;;;Slightly likely;Somewhat Disagree;Neither agree nor disagree;Somewhat Agree;Disagree;Neither agree nor disagree;Somewhat Disagree;None of the above;Medium understanding;High understanding;Low understanding;Low understanding;Medium understanding;High understanding;Man;;My age is:;55;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;None of the above
R_2fkUeKLBlpot3ma;Yes;Yes;Yes;Yes;Milken Institute School of Public Health;;Student;;No;Graduate (M.S.E, M.S., M.A, M.F.A., etc.);;I keep a list of my passwords and various accounts.;I remembered my passwords without writing them down or storing them digitally,I stored my passwords in a digital file or files,I saved my passwords in the browser (for example, passwords saved in Chrome),I used a system-provided password manager (for example, Apple's Keychain),I wrote my passwords down on paper or other physical media.;Yes;Yes;No;No;;No;I have a digital list of my passwords/accounts and a physical list;N/A;I used a password I had created recently before signing up for my GW account;"It's the strategy I use for most accounts; a phrase or word that is meaningful to me that no one else is aware of or could find easily";No;Somewhat more secure;This is one of my more important accounts;I save my passwords in the browser (for example, passwords saved in Chrome).;4.563;120.077;121.118;7;I don’t know (don’t remember, not sure);;Neither agree nor disagree;Neither agree nor disagree;Somewhat Agree;Somewhat Agree;Strongly Disagree;Strongly Disagree;Neither agree nor disagree;Strongly Agree;Easy access;Chrome;;Moderately satisfied;I create the password myself, and the password manager stores it for me;Not having to type my passwords (autofill);;I have security concerns;;"I'm aware that having autofill and a password manager can be dangerous; for example, if I were to lose my device, someone would be able to access my accounts if I did not change my passwords in time (highly unlikely)";;;;;;Neither likely nor unlikely;Somewhat Agree;Neither agree nor disagree;Somewhat Agree;Agree;Agree;Somewhat Agree;None of the above;High understanding;High understanding;Medium understanding;High understanding;Full Understanding;High understanding;Woman;;My age is:;23;No, not of Hispanic, Latino/a/x, or Spanish origin;Black or African American;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_3kv7kydbScHqUQJ;Yes;Yes;Yes;Yes;Elliott School of International Affairs;;Student;;No;Graduate (M.S.E, M.S., M.A, M.F.A., etc.);;I have a password protected note on my phone that stores my passwords. I also save passwords for websites I visit frequently to my browser.;I remembered my passwords without writing them down or storing them digitally,I stored my passwords in a digital file or files,I saved my passwords in the browser (for example, passwords saved in Chrome);Yes;No;No;No;;;For low-risk accounts that I use infrequently, I reuse passwords and don't bother saving them. The higher the risk (bank accounts, etc) the more unique the password.;I change passwords when prompted to do so. I have about 5 passwords that I cycle through and reuse. When 2-factor authentication is offered I usually enable it. I feel comfortable saving passwords on my laptop or phone because no one else uses them and I will get an email if there is a login from a different device.;Included lots of numbers since I heard those are harder to crack.;See above;Yes;About equally secure;I don't feel like my gw account is a high target for criminals.;I save my passwords in the browser (for example, passwords saved in Chrome).;18.035;18.035;22.289;1;Media (Internet, TV, radio, etc),Other People (friends, family, etc, but not at work);;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Disagree;Neither agree nor disagree;Somewhat Disagree;Somewhat Agree;So I don't have to remember them myself or reuse generic passwords.;Firefox;;Extremely satisfied;I let the password manager create and store the password;Not having to type my passwords (autofill);;I have security concerns;;It still seems like there are vulnerabilities if it's saved somewhere on the internet.;;;;;;Extremely likely;Strongly Agree;Agree;Strongly Agree;Somewhat Agree;Agree;Neither agree nor disagree;None of the above;High understanding;High understanding;Medium understanding;Medium understanding;Medium understanding;High understanding;Man;;My age is:;29;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I want my email to be entered into the $10 Amazon gift card raffle
R_12PHWgyr5UzBZP0;Yes;Yes;Yes;Yes;Other;Office of the Vice President for Research administers our lab;Staff (non-faculty/administrative);;;;;many accounts have the same password. i have a cheat sheet with passwords on in my desk and on my phone.;I remembered my passwords without writing them down or storing them digitally,I stored my passwords in a digital file or files,I wrote my passwords down on paper or other physical media.;Yes;No;No;;;;randomly mostly. but for many things that are associated with my job, I use my GW credentials.;We are a multi-user facility and we struggle to manage all of the passwords that are necessary for connecting the computers to each other, to the internet and to our storage.;a random word from the day that I made the password and add a symbol and 2 numbers;there is no strategy;No;Unsure;I have no idea if any of my accounts are secure. When prompted I make more complicated passwords. I do not change passwords often as it is a hassle. Is it necessary with two factor authentication?;I do not use a password manager.;96.963;96.963;99.953;1;Work;;Somewhat Agree;Somewhat Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Disagree;;;;;;;;;;;I do not know how. No one has shown me one or given me one or told me that I had to use one.;No;;I could or would use one if required to do so.;;Moderately likely;Somewhat Disagree;Somewhat Disagree;Somewhat Agree;Somewhat Disagree;Neither agree nor disagree;Disagree;None of the above;Low understanding;Medium understanding;Low understanding;Low understanding;No understanding;Low understanding;Woman;;My age is:;51;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies
R_1Ia8BQPVBoZ2ZIa;Yes;Yes;Yes;Yes;Milken Institute School of Public Health;;Student;;Yes;Graduate (M.S.E, M.S., M.A, M.F.A., etc.);;Keep them in a notes tab on my phone;I remembered my passwords without writing them down or storing them digitally,I stored my passwords in a digital file or files,I saved my passwords in the browser (for example, passwords saved in Chrome),I used a system-provided password manager (for example, Apple's Keychain);Yes;No;Yes;Unsure;;Unsure;Depends on the account and where im using if its not sensitive account i just use keychain for more improtant accounts i save it on a notes tab on my phone;None;Common pw used in the past;Easy to remember and decently complex;No;About equally secure;Its automatically entered for my gw mail but not for other accounts;I use a system provided password manager (for example, Apple's Keychain).;4.006;17.513;21.871;8;I don’t know (don’t remember, not sure);;Neither agree nor disagree;Neither agree nor disagree;Somewhat Disagree;Somewhat Agree;Somewhat Disagree;Neither agree nor disagree;Somewhat Agree;Somewhat Disagree;It popped up on my computer;Apple Keychain;;Moderately satisfied;I create the password myself, and the password manager stores it for me;Not having to type my passwords (autofill);;I have security concerns;;All the pw are stored automatically ans could be accessed by anyone;;;;;;Slightly likely;Disagree;Neither agree nor disagree;Somewhat Disagree;Strongly Disagree;Disagree;Disagree;None of the above;Medium understanding;High understanding;Low understanding;High understanding;Low understanding;High understanding;Woman;;My age is:;25;Yes, Another Hispanic, Latino/a or Spanish origin;White;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_2ZPSjV0ut3SqNVZ;Yes;Yes;Yes;Yes;Other;Student Life;Staff (non-faculty/administrative);;;;;Usually keep the same password;I stored my passwords in a digital file or files;Yes;Yes;No;;;;;NA;Common password for me and hard to identify by potential hackers;hard to identify by potential hackers;Yes;Somewhat less secure;Same password;I use a third-party manager (for example, Lastpass or Onepass).;3.498;9.729;142.804;9;Work;;Strongly Disagree;Somewhat Disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Help maintain an easy and accessible account;Apple Keychain;;Extremely satisfied;I create the password myself, and the password manager stores it for me;Not having to type my passwords (autofill);;Entering passwords on an incompatible device where the password manger cannot be installed;;;;;;;;Moderately likely;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Disagree;Disagree;Neither agree nor disagree;None of the above;Medium understanding;High understanding;Low understanding;No understanding;Low understanding;Low understanding;Woman;;My age is:;29;No, not of Hispanic, Latino/a/x, or Spanish origin;Black or African American;;I want my email to be entered into the $10 Amazon gift card raffle
R_ApVnSMSU8NwMhUZ;Yes;Yes;Yes;Yes;Other;Controller's Team/EVP CFO;Staff (non-faculty/administrative);;;;;I have google save the words on my computer.;I saved my passwords in the browser (for example, passwords saved in Chrome);Yes;;;No;;;;I also use my cell phone to save passwords and use finger print;"various months with either ""+"" or ""!""";easy to remember;Yes;About equally secure;I know that it is secured.;I save my passwords in the browser (for example, passwords saved in Chrome).;12.49;26.951;27.52;4;Work;;Neither agree nor disagree;Neither agree nor disagree;Somewhat Disagree;Somewhat Agree;Somewhat Disagree;Somewhat Disagree;Neither agree nor disagree;Neither agree nor disagree;rather than writing each password, it is easier to use the manger;Chrome;;Moderately satisfied;I create the password myself, and the password manager stores it for me;Not having to type my passwords (autofill);;I have security concerns;;i do get messages that my password has been exposed and ask to change the password;;;;;;Extremely likely;Agree;Agree;Agree;Agree;Agree;Neither agree nor disagree;None of the above;Medium understanding;Medium understanding;Medium understanding;Low understanding;Low understanding;Low understanding;Woman;;My age is:;50;No, not of Hispanic, Latino/a/x, or Spanish origin;Asian Indian;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_2ALSLa72egR2uYJ;Yes;Yes;Yes;Yes;Columbian College of Arts & Sciences;;Student;;No;Graduate (M.S.E, M.S., M.A, M.F.A., etc.);;I have a text file that logs my different passwords;I stored my passwords in a digital file or files,I saved my passwords in the browser (for example, passwords saved in Chrome);Yes;No;No;Yes;;;I allow certain sites, like NYT or Gmail, to retain my passwords upon revisiting them, since I do so often. I require other sites, like my bank accounts or less frequented sites, to have me enter a password every time.;Nope.;"I know this isn't true randomness, but I ""arbitrarily"" hit letters, numbers and symbols on my keypad to generate a new password for GW.";To ensure it is different enough from prior passwords for other sites.;No;Somewhat more secure;"I think it's similar to other account passwords in terms of ""randomness,"" but it's not reused for any other site, like some of my other ones are.";I save my passwords in the browser (for example, passwords saved in Chrome).;21.105;21.105;24.331;1;Media (Internet, TV, radio, etc);;Somewhat Disagree;Strongly Disagree;Somewhat Disagree;Strongly Agree;Strongly Disagree;Strongly Disagree;Neither agree nor disagree;Somewhat Disagree;Convenience.;Chrome;;Moderately satisfied;I create the password myself, and the password manager stores it for me;Not having to type my passwords (autofill);;I have security concerns;;I don't know how securely Chrome stores my passwords.;;;;;;Slightly unlikely;Disagree;Neither agree nor disagree;Somewhat Agree;Disagree;Neither agree nor disagree;Disagree;None of the above;Low understanding;Medium understanding;Low understanding;Medium understanding;Medium understanding;Full Understanding;Man;;My age is:;33;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_UQ3MWruRPK9o5xf;Yes;Yes;Yes;Yes;Other;Faculty position that falls under the provost's office rather than a school;Full-time Faculty;;;;;Most of my passwords are the same, or some variation of the same depending on password requirements.;I used a system-provided password manager (for example, Apple's Keychain);Yes;;;;;Yes;;Nope;I actually have the same password since I started at GW in 2010. I made something easy to remember that fit the requirements.;Easy to remember.;Yes;Somewhat more secure;It combines different features and is different than any of my other passwords.;I save my passwords in the browser (for example, passwords saved in Chrome).,I use a system provided password manager (for example, Apple's Keychain).;23.628;28.803;37.99;2;Other People (friends, family, etc, but not at work);;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Disagree;Strongly Disagree;Somewhat Agree;Somewhat Agree;To remember passwords so I don't have to re-enter them so much.;Apple Keychain;;Moderately satisfied;I create the password myself, and the password manager stores it for me;Not having to type my passwords (autofill);;Entering passwords when password manager is not installed;;Sometimes I forget the passwords because I'm used to autofill.;;;;;;Extremely likely;Strongly Disagree;Somewhat Agree;Somewhat Agree;Disagree;Somewhat Agree;Somewhat Agree;None of the above;High understanding;High understanding;Medium understanding;High understanding;Medium understanding;Medium understanding;Woman;;My age is:;42;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_2ZVPjMUZF2CTvGk;Yes;Yes;Yes;Yes;School of Medicine & Health Sciences;;Staff (non-faculty/administrative);;;;;Associate them with events and keep them in my head.;I remembered my passwords without writing them down or storing them digitally,I saved my passwords in the browser (for example, passwords saved in Chrome);Yes;;;No;;;I just change characters around in the same password.;No;Events;Easy to update and remember across accounts;Yes;Somewhat more secure;It's a strategy to remember my accounts.;I save my passwords in the browser (for example, passwords saved in Chrome).;4.385;19.624;24.986;4;Other People (friends, family, etc, but not at work);;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;I don't use them.;Other;none;Extremely satisfied;I create the password myself and recall it without storing it in the password manager;Not having to type my passwords (autofill);;I have security concerns;;Yes;;;;;;Slightly likely;Neither agree nor disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Somewhat Agree;Somewhat Agree;None of the above;Full Understanding;Full Understanding;Medium understanding;Full Understanding;Full Understanding;High understanding;Woman;;My age is:;500;No, not of Hispanic, Latino/a/x, or Spanish origin;Prefer not to disclose;;None of the above
R_OP4tRCP5ca59T1f;Yes;Yes;Yes;Yes;School of Medicine & Health Sciences;;Staff (non-faculty/administrative);;;;;Let's just say: I don't do a very good job. I try to write them down, but don't always do so, or don't do it in a spot where I can later find it, etc. So I end up forgetting passwords and needing to reset them or using a couple over and over (which of course isn't wise).;I saved my passwords in the browser (for example, passwords saved in Chrome),I wrote my passwords down on paper or other physical media.;Yes;;;No;;;"Not very effectively. I use the ""paper and pen"" method far more frequently, and find saving in the browser to not work very well because I often use a couple of different browsers, then I have my personal cell phone and a personal ipad, so any password saved on my work computer browser won't be elsewhere.";Just that it is horrendously painful and time consuming.;I used a name, a number, an exclamation mark.;That is my standard strategy. I am more of a words than number person, so using an actual name or word plus a couple of numbers works better for me to hopefully remember the password.;No;Somewhat less secure;I have used my GW account password for other accounts.;I do not use a password manager.;8.692;39.21;39.824;6;I don’t know (don’t remember, not sure);;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;;;;;;;;;;;Because I am just not that tech savvy and my patience for anything tech related is very limited. For example, several people highly recommended LastPass, but I struggled to set it up, so I gave up.;No;;Sure, I can imagine, but only if adoption were very simple and didn't take much time. I would do it so that I don't have to remember or write down 1,000 different passwords.;;Neither likely nor unlikely;Somewhat Agree;Strongly Disagree;Somewhat Disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;None of the above;Medium understanding;Full Understanding;Medium understanding;Medium understanding;Low understanding;Medium understanding;Woman;;My age is:;45;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_2zvEU8aPO8pKvdP;Yes;Yes;Yes;Yes;Milken Institute School of Public Health;;Student;;No;Graduate (M.S.E, M.S., M.A, M.F.A., etc.);;I use the same password for all accounts.;I remembered my passwords without writing them down or storing them digitally;Yes;;;;;;;n/a;Same password I always use;Easier to keep up with;Yes;About equally secure;Works for other sites;I save my passwords in the browser (for example, passwords saved in Chrome).;4.102;12.097;43.695;3;I don’t know (don’t remember, not sure);;Neither agree nor disagree;Somewhat Agree;Neither agree nor disagree;Somewhat Agree;Somewhat Disagree;Neither agree nor disagree;Somewhat Agree;Neither agree nor disagree;so it's one less thing to worry about;Chrome;;Moderately satisfied;I create the password myself, and the password manager stores it for me;Not having to memorize passwords;;I have security concerns;;If someone hacks into my pw manager;;;;;;Moderately likely;Neither agree nor disagree;Neither agree nor disagree;Somewhat Agree;Somewhat Disagree;Neither agree nor disagree;Somewhat Disagree;None of the above;Medium understanding;Full Understanding;Medium understanding;Low understanding;Medium understanding;Low understanding;Woman;;My age is:;43;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I want my email to be entered into the $10 Amazon gift card raffle
R_2zeWvlntEG7P7qi;Yes;Yes;Yes;Yes;School of Medicine & Health Sciences;;Full-time Faculty;;;;;I use similar ones;I remembered my passwords without writing them down or storing them digitally,I used a third-party password manager (for example, Lastpass or Onepass),I wrote my passwords down on paper or other physical media.;Yes;;;;No;;By using similar passwords, I typically don't write them down, however since having a variety of different accounts and different computers one for work and one for personal, I have written a few done in a secure journal since I use very infrequent and on my home computer I have a program that provides an option to save your password if you choose to;no;A mixture of letters and numbers and a symbol that mean something to me personally so its easy to remember;I find that strategy is easy to remember the password as noted above;No;About equally secure;I use the same strategy for my other accounts, letters, numbers and a symbol;I use a third-party manager (for example, Lastpass or Onepass).;57.689;57.689;61.74;1;Other People (friends, family, etc, but not at work);;Neither agree nor disagree;Neither agree nor disagree;Somewhat Agree;Somewhat Agree;Strongly Disagree;Neither agree nor disagree;Somewhat Agree;Neither agree nor disagree;to help me remember password for infrequently used accounts. I don't use it all the time and not for all passwords;1Password;;Moderately satisfied;I create the password myself, and the password manager stores it for me;Not having to memorize passwords;;Saves passwords that I do not want to save;;Sometimes it prompts me to save when I don't want to;;;;;;Moderately likely;Agree;Agree;Agree;Agree;Agree;Somewhat Disagree;None of the above;Low understanding;Medium understanding;Low understanding;Medium understanding;Low understanding;Medium understanding;Woman;;My age is:;60;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_2WHyLgsmFbw1AAv;Yes;Yes;Yes;Yes;School of Medicine & Health Sciences;;Staff (non-faculty/administrative);;;;;I have a system of multiple letters, symbols and numbers that I use;I remembered my passwords without writing them down or storing them digitally,I saved my passwords in the browser (for example, passwords saved in Chrome);No;;;No;;;For stuff that I find annoying to save and have no safety concerns (i.e. patient information or my personal information) I store the passwords. I never save passwords to access the EMR.;no;I thought of my partner and used password based off him that no one would guess and I would always remember;because I was sick of resetting my password;No;Much more secure;because I dont like dealing with administration.;I do not use a password manager.;5.823;5.823;48.568;1;I don’t know (don’t remember, not sure);;Strongly Disagree;Strongly Disagree;Strongly Disagree;Strongly Agree;Strongly Disagree;Strongly Agree;Strongly Disagree;Strongly Agree;;;;;;;;;;;because I dont want other people to know my passwords;Yes;three years ago, I got a weird email with my account information that I had stored in a password manager;;no;Slightly likely;Neither agree nor disagree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;None of the above;Full Understanding;Full Understanding;Low understanding;Full Understanding;Low understanding;Medium understanding;Woman;;My age is:;29;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I want my email to be entered into the $10 Amazon gift card raffle
R_3dJSttncu8L5sbf;Yes;Yes;Yes;Yes;School of Engineering & Applied Science;;Student;;No;Professional (M.D., J.D., etc.);;PasswordSafe sync'd via Dropbox.;I used a third-party password manager (for example, Lastpass or Onepass);No;;;;Yes;;;PasswordSafe with the password file sync'd via Dropbox. There is no Cloud based aspect other than the transfer of the binary file for the AES256 encrypted password safe that is sync'd via Dropbox.;PasswordSafe random password generator using 20 chars.;It's the same strategy that I use for all my password creation. The entropy generator in PasswordSafe is better than my own mental entropy generator.;No;About equally secure;I use the same PasswordSafe generator with the same settings generally if allowed by the individual systems (e.g., 20 or so characters, lower/upper case chars, special chars, et cetera).;I use a third-party manager (for example, Lastpass or Onepass).;26.1;26.1;29.809;1;Work,Media (Internet, TV, radio, etc);;Strongly Agree;Somewhat Agree;Somewhat Agree;Somewhat Agree;Somewhat Disagree;Strongly Disagree;Neither agree nor disagree;Somewhat Agree;To prevent the re-use of passwords across multiple systems.;Other;PasswordSafe;Extremely satisfied;I let the password manager create and store the password;Having unique passwords;;Entering passwords on an incompatible device where the password manger cannot be installed;;There are times when I have to manually type the password into a system. One example is logging in a Roku to a streaming service and typing in a 20 char high entropy password can be a real pain with all the special characters.;;;;;;Moderately unlikely;Agree;Strongly Agree;Agree;Agree;Strongly Agree;Agree;I am majoring / have a degree in computer science or a closely related field;High understanding;High understanding;High understanding;High understanding;High understanding;High understanding;Man;;My age is:;51;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies
